Date,Open,High,Low,Close,Volume
09/01/2019 02:00:00,1.124,1.1247,1.1239,1.1246,1759
09/01/2019 03:00:00,1.1246,1.1246,1.1243,1.1246,1864
09/01/2019 04:00:00,1.1246,1.1248,1.1243,1.1245,2272
09/01/2019 05:00:00,1.1245,1.1247,1.1243,1.1245,2125
09/01/2019 06:00:00,1.1245,1.1248,1.1242,1.1245,9216
09/01/2019 07:00:00,1.1245,1.1248,1.1237,1.1237,11597
09/01/2019 08:00:00,1.1237,1.1238,1.1228,1.123,10422
09/01/2019 09:00:00,1.1229,1.1231,1.1225,1.1227,8602
09/01/2019 10:00:00,1.1227,1.1236,1.1225,1.1234,7985
09/01/2019 11:00:00,1.1234,1.1235,1.1229,1.1235,9033
09/01/2019 12:00:00,1.1235,1.1237,1.122,1.1221,11465
09/01/2019 13:00:00,1.1221,1.1239,1.1209,1.1231,25601
09/01/2019 14:00:00,1.1231,1.1249,1.1229,1.1245,28639
09/01/2019 15:00:00,1.1245,1.1265,1.1242,1.1255,23704
09/01/2019 16:00:00,1.1255,1.1256,1.1249,1.1253,9641
09/01/2019 17:00:00,1.1254,1.1258,1.1247,1.1253,8575
09/01/2019 18:00:00,1.1253,1.1258,1.125,1.1256,18788
09/01/2019 19:00:00,1.1256,1.126,1.1243,1.1244,10974
09/01/2019 20:00:00,1.1245,1.1249,1.1243,1.1248,4243
09/01/2019 21:00:00,1.1247,1.1252,1.1242,1.1248,6164
09/01/2019 22:00:00,1.1248,1.1257,1.1245,1.1254,7759
09/01/2019 23:00:00,1.1253,1.1254,1.1241,1.1248,8251
10/01/2019 00:00:00,1.1248,1.1249,1.1238,1.1239,9466
10/01/2019 01:00:00,1.1239,1.1245,1.1238,1.1244,4569
10/01/2019 02:00:00,1.1244,1.1249,1.1244,1.1244,6189
10/01/2019 03:00:00,1.1244,1.1245,1.1239,1.1243,4264
10/01/2019 04:00:00,1.1243,1.1246,1.124,1.1244,3821
